listing_id,dealer_id,dealer_slug,external_id,stock_number,vin,state,unit_location,condition,year,make,model,floorplan,unit_type,price_usd,msrp_usd,sleeps,days_on_lot,title,listing_url,source_platform,photo_count
1,9,maple-grove-rv,3557046,3233,,WA,"Everett, WA",Used,2017,Highland Ridge,RV Open Range Roamer,RF316RLS,,24950,,4,,Used 2017 Highland Ridge RV Open Range Roamer RF316RLS,https://maplegroverv.com/product/used-2017-highland-ridge-rv-open-range-roamer-rf316rls-3557046-5,DealerSpike,2
2,9,maple-grove-rv,3522519,3231,,WA,"Everett, WA",Used,2022,Grand Design,Reflection 150 Series,260RD,,32950,,4,,Used 2022 Grand Design Reflection 150 Series 260RD,https://maplegroverv.com/product/used-2022-grand-design-reflection-150-series-260rd-3522519-5,DealerSpike,2
3,9,maple-grove-rv,3499879,5328,,WA,"Everett, WA",Used,2023,Keystone RV,Cougar,316RLS,,51950,,5,,Used 2023 Keystone RV Cougar 316RLS,https://maplegroverv.com/product/used-2023-keystone-rv-cougar-316rls-3499879-5,DealerSpike,2
4,9,maple-grove-rv,3626517,5345,,WA,"Everett, WA",Used,2021,Keystone RV,Montana,3760FL,,59950,,6,,Used 2021 Keystone RV Montana 3760FL,https://maplegroverv.com/product/used-2021-keystone-rv-montana-3760fl-3626517-5,DealerSpike,2
5,9,maple-grove-rv,3626514,5342,,WA,"Everett, WA",Used,2022,Keystone RV,Montana,3791RD,,64950,,6,,Used 2022 Keystone RV Montana 3791RD,https://maplegroverv.com/product/used-2022-keystone-rv-montana-3791rd-3626514-5,DealerSpike,2
6,9,maple-grove-rv,3009877,3201,,WA,"Everett, WA",Used,2021,DRV,Luxury Suites Mobile Suites 39,DBRS3,,104950,,4,,Used 2021 DRV Luxury Suites Mobile Suites 39 DBRS3,https://maplegroverv.com/product/used-2021-drv-luxury-suites-mobile-suites-39-dbrs3-3009877-5,DealerSpike,2
7,9,maple-grove-rv,3673631,3248,,WA,"Everett, WA",Used,2021,Forest River,RV R Pod,RP-180,,16950,,3,,Used 2021 Forest River RV R Pod RP-180,https://maplegroverv.com/product/used-2021-forest-river-rv-r-pod-rp-180-3673631-29,DealerSpike,2
8,9,maple-grove-rv,3156717,3206,,WA,"Everett, WA",Used,2023,Forest River,RV Wildwood FSX,161QK,,17950,,4,,Used 2023 Forest River RV Wildwood FSX 161QK,https://maplegroverv.com/product/used-2023-forest-river-rv-wildwood-fsx-161qk-3156717-29,DealerSpike,2
9,9,maple-grove-rv,3728804,5468,,WA,"Everett, WA",Used,2021,KZ,Escape E17 HATCH,,,21950,,4,,Used 2021 KZ Escape E17 HATCH,https://maplegroverv.com/product/used-2021-kz-escape-e17-hatch-3728804-29,DealerSpike,2
10,9,maple-grove-rv,3728811,5467,,WA,"Everett, WA",Used,2022,Forest River,RV Ozark,1680BSKX,,22950,,7,,Used 2022 Forest River RV Ozark 1680BSKX,https://maplegroverv.com/product/used-2022-forest-river-rv-ozark-1680bskx-3728811-29,DealerSpike,2
11,9,maple-grove-rv,3707586,20273,,WA,"Everett, WA",New,2027,inTech,RV Flyer Pursue,,,24950,,2,,New 2027 inTech RV Flyer Pursue,https://maplegroverv.com/product/new-2027-intech-rv-flyer-pursue-3707586-29,DealerSpike,2
